CustomerID,CustomerName,Gender,AgeGroup,State,CustomerType
148,Zeeshan Krishna,Male,36-45,Uttar Pradesh,New
149,Vivaan Boase,Male,36-45,Uttar Pradesh,Returning
150,Mannat Toor,Female,46-60,Gujarat,New
151,Sana Magar,Male,26-35,Tamil Nadu,New
152,Lakshit Manne,Male,60+,Kerala,New
153,Krish Handa,Male,60+,Telangana,Returning
154,Indranil Buch,Male,60+,Rajasthan,Returning
155,Anaya Tandon,Male,18-25,Karnataka,New
156,Hrishita Sarraf,Female,60+,Kerala,Returning
157,Lakshit Krishnan,Male,60+,Rajasthan,New
158,Rohan Deshpande,Female,60+,Karnataka,Returning
159,Fateh Gala,Male,36-45,Karnataka,Returning
160,Nirvi Chaudhari,Female,46-60,Tamil Nadu,Returning
161,Lakshit Chaudhari,Male,26-35,Maharashtra,Returning
162,Ivana Sani,Male,46-60,West Bengal,Returning
163,Madhup Hans,Female,60+,Delhi,Returning
164,Indrans Dixit,Female,26-35,Kerala,Returning
165,Khushi Tara,Female,26-35,Delhi,Returning
166,Shalv Som,Male,46-60,Delhi,New
167,Arnav Dhingra,Female,46-60,Tamil Nadu,New
168,Priyansh Iyer,Male,46-60,Delhi,Returning
169,Krish Kadakia,Male,46-60,Karnataka,New
170,Mamooty Devi,Female,18-25,Rajasthan,Returning
171,Manjari Shetty,Female,36-45,Karnataka,New
172,Nehmat Jhaveri,Male,36-45,Maharashtra,New
173,Sahil Bains,Male,60+,Kerala,New
174,Uthkarsh Sagar,Female,18-25,Gujarat,Returning
175,Ishaan Singhal,Female,26-35,West Bengal,New
176,Farhan Behl,Female,46-60,Tamil Nadu,New
177,Vanya Sangha,Male,60+,Tamil Nadu,Returning
178,Purab Din,Male,26-35,Maharashtra,New
179,Onkar Koshy,Male,36-45,Uttar Pradesh,Returning
180,Rhea Chawla,Male,26-35,Kerala,Returning
181,Zeeshan Mander,Male,46-60,West Bengal,Returning
182,Vanya Kumer,Male,46-60,Delhi,Returning
183,Hazel Kashyap,Female,36-45,Maharashtra,Returning
184,Yakshit Ravel,Male,46-60,Delhi,New
185,Nakul Jayaraman,Male,18-25,Tamil Nadu,Returning
186,Jiya Setty,Male,60+,Rajasthan,New
187,Aaina Sunder,Female,36-45,Karnataka,Returning
188,Dhanuk Virk,Male,36-45,West Bengal,New
189,Samiha Gade,Male,26-35,Gujarat,Returning
190,Anvi Subramanian,Female,36-45,Maharashtra,New
191,Ranbir Raju,Male,60+,Telangana,Returning
192,Dishani Singhal,Male,18-25,Telangana,New
193,Parinaaz Madan,Male,26-35,Rajasthan,New
194,Jivika Chaudry,Male,60+,Kerala,Returning
195,Aniruddh Lata,Male,36-45,West Bengal,New
196,Lakshay Varkey,Female,46-60,Kerala,New
197,Hrishita Din,Female,46-60,Delhi,New
198,Drishya Sarraf,Female,60+,Gujarat,Returning
199,Madhav Iyer,Male,18-25,Telangana,New
200,Aaina Swamy,Male,46-60,Gujarat,New
201,Farhan Badami,Male,60+,Karnataka,Returning
202,Riaan Bumb,Female,26-35,Maharashtra,New
203,Gatik Shroff,Male,36-45,West Bengal,New
204,Nishith Sekhon,Male,18-25,Tamil Nadu,Returning
205,Vaibhav Acharya,Female,18-25,Delhi,Returning
206,Khushi Vohra,Male,26-35,West Bengal,New
207,Kabir Kota,Female,18-25,Delhi,New
208,Kiara Goda,Female,60+,Maharashtra,Returning
209,Tushar Sen,Female,18-25,Delhi,New
210,Samarth Goswami,Male,18-25,West Bengal,Returning
211,Jivika Bawa,Male,18-25,Karnataka,Returning
212,Dhanuk Divan,Male,60+,Telangana,Returning
213,Vritika Ray,Male,36-45,Rajasthan,Returning
214,Hrishita Gokhale,Male,46-60,Gujarat,New
215,Yuvraj  Bhagat,Male,18-25,Gujarat,New
216,Navya Dash,Male,26-35,Kerala,New
217,Saksham Sampath,Female,26-35,Delhi,Returning
218,Nirvi Magar,Male,60+,West Bengal,Returning
219,Trisha De,Female,36-45,Kerala,New
220,Hridaan Tailor,Male,18-25,Karnataka,New
221,Yashvi Bala,Male,60+,Karnataka,New
222,Saksham Saini,Male,46-60,Karnataka,New
223,Myra Thakur,Female,36-45,Telangana,Returning
224,Hrishita Saraf,Female,36-45,Uttar Pradesh,Returning
225,Ahana  Krish,Female,60+,Maharashtra,New
226,Pari Das,Female,26-35,Tamil Nadu,New
227,Tara Sangha,Male,36-45,Rajasthan,New
228,Indrajit Divan,Female,26-35,Kerala,New
229,Madhav Bal,Male,36-45,Delhi,Returning
230,Vihaan Dave,Male,36-45,Maharashtra,New
231,Mishti Datta,Female,36-45,West Bengal,New
232,Ayesha Sankaran,Female,46-60,West Bengal,Returning
233,Rania Dhar,Female,26-35,Karnataka,Returning
234,Miraya Bahri,Female,46-60,Uttar Pradesh,Returning
235,Hrishita Ray,Female,26-35,West Bengal,Returning
236,Pari Bains,Female,46-60,Kerala,New
237,Badal Warrior,Female,46-60,Telangana,Returning
238,Darshit Desai,Female,46-60,Maharashtra,Returning
239,Fateh Shukla,Male,60+,Kerala,New
240,Piya Chacko,Female,46-60,West Bengal,Returning
241,Kiara Shah,Female,36-45,Karnataka,New
242,Hansh Atwal,Male,18-25,Telangana,New
243,Armaan Handa,Female,46-60,Uttar Pradesh,Returning
244,Faiyaz Thakur,Male,18-25,Uttar Pradesh,Returning
245,Gatik Kala,Male,18-25,Tamil Nadu,Returning
246,Neelofar Tank,Female,36-45,West Bengal,New
247,Jivin Lad,Male,18-25,Delhi,New
248,Vritika Lalla,Male,18-25,Gujarat,New
249,Vardaniya Raman,Male,18-25,Rajasthan,Returning
250,Hunar Wali,Male,26-35,West Bengal,New
251,Stuvan Atwal,Female,46-60,Tamil Nadu,Returning
252,Onkar Atwal,Male,46-60,Telangana,New
253,Zaina Khurana,Female,18-25,Karnataka,New
254,Anya Din,Male,36-45,West Bengal,New
255,Keya Sarma,Male,26-35,Kerala,Returning
256,Indrajit Bhargava,Male,36-45,Kerala,Returning
257,Nitya Dua,Male,36-45,Uttar Pradesh,Returning
258,Ahana  Bir,Female,18-25,Uttar Pradesh,New
259,Faiyaz Chaudhary,Female,60+,Rajasthan,Returning
260,Mannat Balan,Male,18-25,Uttar Pradesh,Returning
261,Riya Rout,Male,60+,Rajasthan,New
262,Nirvaan Ben,Female,26-35,Telangana,Returning
263,Nayantara Biswas,Male,60+,Uttar Pradesh,Returning
264,Devansh Thaker,Male,18-25,Maharashtra,New
265,Kavya Deep,Male,18-25,Kerala,New
266,Adira Dani,Female,36-45,Gujarat,Returning
267,Nitara Chand,Female,18-25,Telangana,New
268,Arhaan Shah,Female,18-25,Telangana,Returning
269,Manjari Mangal,Male,46-60,Uttar Pradesh,New
270,Damini Karnik,Male,46-60,Maharashtra,New
271,Yuvraj  Ghosh,Female,36-45,Gujarat,Returning
272,Badal Ghosh,Female,60+,Tamil Nadu,Returning
273,Himmat Magar,Female,60+,Tamil Nadu,New
274,Priyansh Khalsa,Female,46-60,Karnataka,Returning
275,Mannat Shroff,Male,26-35,Delhi,Returning
276,Divij Manda,Female,46-60,Telangana,Returning
277,Biju Bedi,Male,26-35,Gujarat,New
278,Miraan Zachariah,Female,60+,Kerala,Returning
279,Amani Dhar,Male,46-60,Karnataka,New
280,Veer Sule,Female,18-25,Delhi,Returning
281,Keya Suresh,Female,26-35,Gujarat,New
282,Divij Mann,Female,26-35,Tamil Nadu,New
283,Kismat Sen,Female,26-35,Delhi,New
284,Shanaya Sastry,Male,60+,Kerala,New
285,Ela Handa,Female,36-45,Tamil Nadu,Returning
286,Ritvik Rajan,Male,18-25,Maharashtra,New
287,Aarna Gour,Male,46-60,Karnataka,Returning
288,Saksham Das,Male,26-35,Kerala,New
289,Sahil Khosla,Male,60+,Kerala,New
290,Sumer Bhagat,Female,26-35,Rajasthan,New
291,Samar Bhavsar,Male,46-60,Rajasthan,New
292,Raunak Thakkar,Male,18-25,Uttar Pradesh,New
293,Manikya Mall,Male,26-35,Kerala,New
294,Dishani Chada,Female,60+,Maharashtra,Returning
295,Kartik Agrawal,Female,60+,Telangana,New
296,Aradhya Chadha,Female,36-45,Telangana,Returning
297,Arhaan Sarma,Female,60+,Telangana,New
298,Taran Balay,Male,36-45,Gujarat,Returning
299,Kanav Kata,Male,18-25,Delhi,Returning
300,Aradhya Gopal,Female,46-60,Gujarat,Returning
301,Suhana Ramakrishnan,Male,36-45,West Bengal,New
302,Shalv Brar,Male,26-35,Tamil Nadu,Returning
303,Aarush Chadha,Male,26-35,Gujarat,Returning
304,Riya Toor,Female,46-60,West Bengal,New
305,Bhamini Sarkar,Female,60+,Gujarat,Returning
306,Jivin Sani,Male,26-35,Tamil Nadu,Returning
307,Ojas Sandal,Female,36-45,Rajasthan,Returning
308,Aradhya Seth,Female,46-60,Uttar Pradesh,New
309,Fateh Gaba,Female,26-35,Delhi,Returning
310,Amira Barad,Female,60+,Karnataka,Returning
311,Shayak Bali,Female,60+,Karnataka,Returning
312,Seher Mahajan,Male,26-35,Delhi,New
313,Pranay Kapur,Female,46-60,Tamil Nadu,Returning
314,Nitara Dada,Male,18-25,Maharashtra,Returning
315,Dharmajan Bhat,Male,26-35,Kerala,New
316,Ishaan Chand,Female,60+,Delhi,Returning
317,Indranil Shere,Male,18-25,Gujarat,Returning
318,Krish Bose,Male,46-60,Rajasthan,Returning
319,Parinaaz Deep,Male,60+,Tamil Nadu,Returning
320,Oorja Mandal,Female,46-60,Uttar Pradesh,New
321,Yuvaan Sood,Female,26-35,Telangana,New
322,Neelofar Gandhi,Male,46-60,West Bengal,Returning
323,Hiran Deo,Female,60+,Maharashtra,New
324,Khushi Talwar,Female,26-35,Kerala,Returning
325,Aaryahi Raju,Female,60+,Karnataka,New
326,Purab Bala,Female,60+,Telangana,New
327,Biju Chand,Male,18-25,Uttar Pradesh,New
328,Mannat Bhargava,Male,36-45,Delhi,New
329,Yasmin Vala,Female,46-60,Telangana,Returning
330,Trisha Shukla,Female,46-60,West Bengal,New
331,Dhruv Chahal,Male,18-25,Kerala,New
332,Mohanlal Sood,Male,46-60,Rajasthan,New
333,Madhup Bhasin,Female,18-25,Rajasthan,New
334,Badal Dubey,Male,46-60,West Bengal,New
335,Baiju Biswas,Female,46-60,Tamil Nadu,Returning
336,Shayak Dugar,Female,60+,Rajasthan,New
337,Raunak Sachdev,Male,18-25,West Bengal,New
338,Manikya Shanker,Male,46-60,Kerala,Returning
339,Miraan Madan,Female,36-45,Karnataka,Returning
340,Ranbir Srinivas,Female,18-25,Maharashtra,Returning
341,Dhanush Bora,Male,18-25,Maharashtra,New
342,Suhana Sinha,Female,18-25,Rajasthan,New
343,Rania Chaudhari,Male,60+,Telangana,New
344,Armaan Chokshi,Female,18-25,West Bengal,New
345,Drishya Bandi,Male,60+,Kerala,Returning
346,Pranay Rajan,Male,36-45,Kerala,Returning
347,Farhan Anne,Male,26-35,Rajasthan,New
348,Kiaan Sandhu,Female,60+,Telangana,New
349,Samaira Dube,Female,46-60,Tamil Nadu,New
350,Prisha Varma,Male,18-25,Kerala,New
351,Piya Barman,Female,26-35,Rajasthan,Returning
352,Zain Cherian,Male,60+,Uttar Pradesh,New
353,Dishani Gole,Male,46-60,Delhi,New
354,Rohan Balay,Female,26-35,Kerala,Returning
355,Umang Jhaveri,Female,36-45,Tamil Nadu,New
356,Armaan Khatri,Male,60+,Delhi,New
357,Navya Gulati,Female,60+,Delhi,New
358,Kanav Keer,Female,36-45,Rajasthan,New
359,Armaan Ramachandran,Male,60+,Karnataka,Returning
360,Aarav Mall,Male,18-25,Telangana,Returning
361,Shaan Varty,Female,60+,Rajasthan,New
362,Armaan Raju,Male,18-25,Gujarat,New
363,Shray Solanki,Male,60+,Maharashtra,Returning
364,Hrishita Walla,Female,46-60,Uttar Pradesh,Returning
365,Ivan Bera,Male,46-60,West Bengal,Returning
366,Rania Dhaliwal,Male,26-35,Tamil Nadu,New
367,Jivin Amble,Female,46-60,West Bengal,Returning
368,Rhea Tandon,Female,36-45,Telangana,Returning
369,Eva Solanki,Male,26-35,West Bengal,Returning
370,Gatik Kadakia,Male,46-60,Gujarat,Returning
371,Anaya De,Female,18-25,Maharashtra,New
372,Fateh Suresh,Female,60+,West Bengal,Returning
373,Jivika Bhagat,Female,46-60,Tamil Nadu,Returning
374,Kiara Kanda,Female,18-25,Delhi,New
375,Adah Sahota,Male,26-35,Uttar Pradesh,New
376,Inaaya  Din,Female,60+,Karnataka,New
377,Urvi Sawhney,Female,46-60,Karnataka,Returning
378,Kavya Bera,Male,26-35,Rajasthan,Returning
379,Aradhya Mann,Female,46-60,Delhi,Returning
380,Alisha Sekhon,Male,26-35,Karnataka,Returning
381,Jhanvi Wadhwa,Female,46-60,Kerala,Returning
382,Aayush Sant,Female,18-25,Gujarat,New
383,Ritvik Gandhi,Female,36-45,West Bengal,Returning
384,Onkar Roy,Male,18-25,Gujarat,Returning
385,Yashvi Bhakta,Male,60+,Tamil Nadu,New
386,Ahana  Dubey,Female,46-60,West Bengal,Returning
387,Azad Kohli,Male,36-45,Kerala,New
388,Jivin Mani,Male,36-45,Uttar Pradesh,New
389,Divyansh Dugar,Male,60+,Kerala,New
390,Raunak Yadav,Male,60+,Gujarat,Returning
391,Veer Kaur,Male,36-45,Delhi,New
392,Dharmajan Manda,Male,60+,Tamil Nadu,New
393,Kabir Banik,Female,60+,Tamil Nadu,Returning
394,Armaan Mammen,Female,46-60,Uttar Pradesh,New
395,Diya Bhat,Male,18-25,Delhi,Returning
396,Kaira Arya,Female,26-35,Tamil Nadu,Returning
397,Drishya Sodhi,Female,36-45,Rajasthan,New
398,Vivaan Hegde,Female,26-35,Gujarat,Returning
399,Ahana  Singhal,Female,36-45,Kerala,Returning
400,Renee Butala,Male,36-45,Uttar Pradesh,New
401,Diya Ganguly,Female,18-25,Delhi,New
402,Neelofar Swamy,Female,36-45,West Bengal,New
403,Shalv Kohli,Male,36-45,Uttar Pradesh,New
404,Dharmajan Golla,Male,18-25,West Bengal,Returning
405,Mahika Baria,Female,60+,Gujarat,New
406,Tanya Dora,Female,26-35,Rajasthan,Returning
407,Ivana Ranganathan,Female,36-45,Kerala,Returning
408,Seher Lall,Female,18-25,Kerala,New
409,Kiaan Bhattacharyya,Female,36-45,Delhi,Returning
410,Ojas Chandra,Female,18-25,Gujarat,New
411,Stuvan Chahal,Male,26-35,Karnataka,New
412,Saksham Sule,Female,46-60,Karnataka,New
413,Saanvi Aggarwal,Female,60+,Karnataka,New
414,Zara Ramachandran,Male,46-60,Gujarat,New
415,Kartik Mann,Male,18-25,West Bengal,New
416,Riaan Bakshi,Male,36-45,Karnataka,Returning
417,Parinaaz Bhardwaj,Male,60+,Karnataka,Returning
418,Onkar Gopal,Female,26-35,Uttar Pradesh,Returning
419,Yashvi Butala,Female,60+,Gujarat,New
420,Bhamini Garg,Female,36-45,Gujarat,New
421,Vaibhav Raj,Female,46-60,Rajasthan,New
422,Jivika Kakar,Female,18-25,Rajasthan,New
423,Sumer Lal,Female,46-60,Karnataka,New
424,Mishti Karnik,Male,60+,Uttar Pradesh,Returning
425,Vaibhav Sankaran,Female,36-45,Delhi,Returning
426,Rati Bakshi,Male,18-25,Delhi,Returning
427,Inaaya  Gour,Male,36-45,Maharashtra,New
428,Bhamini Ramachandran,Female,36-45,Maharashtra,New
429,Ishita Bhatia,Male,60+,Rajasthan,New
430,Raghav Mallick,Female,46-60,Uttar Pradesh,New
431,Prisha Babu,Male,36-45,Karnataka,New
432,Nehmat Dass,Female,36-45,Rajasthan,New
433,Aarush Bhatt,Male,36-45,Karnataka,Returning
434,Anahi Seshadri,Female,18-25,Karnataka,Returning
435,Hiran Choudhry,Female,36-45,Tamil Nadu,Returning
436,Prerak Wable,Female,36-45,Uttar Pradesh,New
437,Armaan Trivedi,Female,60+,West Bengal,New
438,Nirvi Gara,Female,36-45,Telangana,New
439,Indranil Shroff,Male,36-45,Uttar Pradesh,New
440,Ahana  Hari,Male,60+,West Bengal,Returning
441,Jivika Krishnamurthy,Male,18-25,Karnataka,Returning
442,Nehmat Kuruvilla,Female,46-60,Rajasthan,Returning
443,Lakshit Madan,Male,60+,Karnataka,Returning
444,Parinaaz Lalla,Female,18-25,Kerala,New
445,Tarini Kibe,Female,46-60,Karnataka,Returning
446,Taran Chawla,Male,36-45,Tamil Nadu,Returning
447,Ryan Kumer,Male,60+,Maharashtra,Returning
448,Ivan Shroff,Female,36-45,Rajasthan,Returning
449,Jivin Ramesh,Male,60+,Gujarat,Returning
450,Nakul Sinha,Female,46-60,Karnataka,Returning
451,Darshit Deol,Female,18-25,Delhi,New
452,Elakshi Kaur,Female,60+,Kerala,New
453,Tushar Jaggi,Female,18-25,Karnataka,Returning
454,Hiran Dhillon,Female,36-45,Tamil Nadu,New
455,Darshit Ranganathan,Male,36-45,Kerala,New
456,Indrajit Batta,Male,46-60,Delhi,New
457,Mishti Raman,Female,46-60,West Bengal,Returning
458,Jivin Shan,Female,26-35,Maharashtra,New
459,Ahana  Suresh,Male,26-35,Karnataka,Returning
460,Kiara Walia,Male,46-60,Uttar Pradesh,Returning
461,Shaan Kakar,Female,36-45,Telangana,New
462,Arhaan Trivedi,Male,18-25,Gujarat,New
463,Mannat Barad,Female,46-60,Karnataka,New
464,Arhaan Bali,Male,18-25,Karnataka,Returning
465,Vritika Anne,Female,26-35,West Bengal,Returning
466,Hunar Sem,Male,18-25,Tamil Nadu,New
467,Bhamini Samra,Female,46-60,Uttar Pradesh,New
468,Gokul Bahri,Male,36-45,Tamil Nadu,New
469,Riya Sarraf,Male,46-60,Telangana,Returning
470,Hrishita Karpe,Female,60+,West Bengal,New
471,Aarav Saha,Male,60+,Rajasthan,Returning
472,Prisha Mane,Female,60+,Tamil Nadu,Returning
473,Kimaya Divan,Male,36-45,Telangana,Returning
474,Aradhya Sarma,Female,46-60,West Bengal,Returning
475,Kiaan Tata,Male,60+,West Bengal,New
476,Advik Mannan,Female,46-60,Kerala,Returning
477,Sara Bhandari,Male,26-35,Maharashtra,Returning
478,Advik Tara,Female,60+,Uttar Pradesh,Returning
479,Shlok Sheth,Male,60+,Gujarat,Returning
480,Yasmin Chokshi,Female,36-45,Gujarat,Returning
481,Dishani Sibal,Female,46-60,Telangana,New
482,Amira Seth,Female,36-45,Tamil Nadu,Returning
483,Navya Vohra,Male,36-45,Rajasthan,Returning
484,Kanav Basu,Female,46-60,Telangana,New
485,Mamooty Dayal,Male,26-35,Uttar Pradesh,Returning
486,Romil Dua,Female,46-60,Gujarat,Returning
487,Emir Chaudhry,Male,26-35,Delhi,Returning
488,Aaina Chahal,Female,36-45,Rajasthan,New
489,Kavya Kala,Male,26-35,Uttar Pradesh,New
490,Vedika Khatri,Male,26-35,Tamil Nadu,New
491,Chirag Raman,Female,26-35,Karnataka,Returning
492,Aarav Sami,Male,60+,Delhi,Returning
493,Zain Ganguly,Male,60+,Uttar Pradesh,New
494,Piya Bora,Female,36-45,Karnataka,Returning
495,Charvi Khatri,Male,46-60,West Bengal,New
496,Rania Chaudhary,Male,26-35,Tamil Nadu,Returning
497,Indrans Edwin,Male,60+,Karnataka,Returning
498,Farhan Jani,Female,46-60,Delhi,New
499,Urvi Korpal,Male,26-35,Kerala,New
500,Ranbir Bajaj,Female,46-60,Maharashtra,Returning
501,Nitya Toor,Male,18-25,Kerala,Returning
502,Dhanush Varty,Male,26-35,Maharashtra,Returning
503,Vritika Bassi,Male,46-60,Delhi,Returning
504,Ryan Buch,Female,26-35,West Bengal,Returning
505,Ela Mangal,Male,26-35,Uttar Pradesh,Returning
506,Lavanya Guha,Male,18-25,Maharashtra,New
507,Madhav Bahri,Female,46-60,West Bengal,New
508,Saira Bhakta,Male,36-45,Kerala,Returning
509,Rasha Atwal,Female,60+,Uttar Pradesh,New
